Date,date,tag
November 22,"November 22, 2021","feedback, survey"
November 17,"November 17, 2021",about these updates
November 18,"November 18, 2021","color tools, survey"
November 23,"November 23, 2021",nothing done
November 24,"November 24, 2021",book reading
November 25,"November 25, 2021",writing on the book
November 29,"November 29, 2021",color tools
December 01,"December 1, 2021","color tools, paper reading"
November 30,"November 30, 2021",book structure
December 02,"December 2, 2021","exercises, paper reading"
December 06,"December 6, 2021","accessibility, writing a blog post"
December 07,"December 7, 2021","accessibility, writing a blog post"
December 08,"December 8, 2021","about these updates, color user interviews"
December 09,"December 9, 2021","color user interviews, schedule"
December 13,"December 13, 2021","color user interviews, picking colors"
December 14,"December 14, 2021",color tools
December 16,"December 16, 2021","accessibility, paper reading"
December 15,"December 15, 2021","color space, picking colors"
January 03,"January 3, 2022",about these updates
January 04,"January 4, 2022","color user interviews, figures"
January 05,"January 5, 2022","about these updates, writing a blog post"
January 06,"January 6, 2022","color space, color tools, color user interviews"
January 10,"January 10, 2022","color science, writing a blog post"
January 11,"January 11, 2022","color user interviews, style guide, writing on the book"
January 12,"January 12, 2022",writing a blog post
January 13,"January 13, 2022","book reading, color science, conference"
January 17,"January 17, 2022","color user interviews, data vis book club"
January 18,"January 18, 2022","bivariate maps, data vis book club"
January 19,"January 19, 2022","book reading, writing a Weekly Chart"
January 20,"January 20, 2022","bivariate maps, color tools, color user interviews, writing a Weekly Chart"
January 24,"January 24, 2022",meanings of color
January 25,"January 25, 2022",nothing done
January 26,"January 26, 2022",compromises
January 27,"January 27, 2022",nothing done
January 31,"January 31, 2022",figures
February 1,"February 1, 2022","figures, writing a blog post"
February 2,"February 2, 2022",figures
February 3,"February 3, 2022",gave workshop
February 7,"February 7, 2022","color tools, gave workshop"
February 8,"February 8, 2022","color tools, writing a blog post"
February 9,"February 9, 2022",color user interviews
February 10,"February 10, 2022","accessibility, maps"
February 14,"February 14, 2022",writing a blog post
February 15,"February 15, 2022","color tools, writing a blog post"
February 16,"February 16, 2022",writing a blog post
February 17,"February 17, 2022",writing a blog post
February 21,"February 21, 2022",style guide
February 24,"February 24, 2022",nothing done
February 28,"February 28, 2022","data vis dispatch, writing a blog post"
March 01,"March 1, 2022",data vis dispatch
March 02,"March 2, 2022","style guide, writing a blog post"
March 03,"March 3, 2022","style guide, writing a blog post"
March 09,"March 9, 2022",nothing done
March 10,"March 10, 2022","style guide, writing a blog post"
March 14,"March 14, 2022",data vis dispatch
March 15,"March 15, 2022","data vis dispatch, paper reading, style guide"
March 16,"March 16, 2022","style guide, writing a blog post"
March 17,"March 17, 2022","color user interviews, style guide, writing a blog post"
March 21,"March 21, 2022","nothing done, writing a Weekly Chart"
April 04,"April 4, 2022","book structure, style guide"
April 05,"April 5, 2022","book structure, writing on the book"
April 06,"April 6, 2022",writing on the book
April 07,"April 7, 2022","paper reading, writing on the book"
April 11,"April 11, 2022",writing on the book
April 12,"April 12, 2022","figures, writing on the book"
April 13,"April 13, 2022","figures, writing on the book"
April 14,"April 14, 2022",nothing done
April 25,"April 25, 2022","figures, interpolation"
April 26,"April 26, 2022","figures, interpolation"
April 27,"April 27, 2022","figures, interpolation, writing on the book"
April 28,"April 28, 2022","color key, figures, writing on the book"
May 2,"May 2, 2022",nothing done
May 3,"May 3, 2022","book structure, color key, writing on the book"
May 4,"May 4, 2022","color key, writing on the book"
May 5,"May 5, 2022","paper reading, writing on the book"
May 09,"May 9, 2022",picking colors
May 10,"May 10, 2022","data vis dispatch, nothing done"
May 11,"May 11, 2022","meanings of color, writing on the book"
May 12,"May 12, 2022","accessibility, color tools, conference, writing on the book"
May 16,"May 16, 2022",writing on the book
May 17,"May 17, 2022",accessibility
May 18,"May 18, 2022","accessibility, writing on the book"
May 19,"May 19, 2022","accessibility, writing on the book"
May 23,"May 23, 2022","accessibility, writing on the book"
May 24,"May 24, 2022","accessibility, paper reading, writing on the book"
May 25,"May 25, 2022","accessibility, book structure, writing on the book"
May 30,"May 30, 2022","beautiful colors, paper reading, writing on the book"
May 31,"May 31, 2022","beautiful colors, hiring, writing on the book"
June 1,"June 1, 2022","color tools, nothing done, picking colors"
June 2,"June 2, 2022","beautiful colors, paper reading"
June 13,"June 13, 2022","hiring, nothing done"
June 14,"June 14, 2022","beautiful colors, hiring, writing on the book"
June 15,"June 15, 2022","beautiful colors, paper reading"
June 16,"June 16, 2022","beautiful colors, figures, writing on the book"
June 20,"June 20, 2022",hiring
June 21,"June 21, 2022","beautiful colors, hiring, writing on the book"
June 22,"June 22, 2022","hiring, writing on the book"
June 23,"June 23, 2022","color tools, hiring"
June 27,"June 27, 2022","hiring, writing a Weekly Chart"
June 28,"June 28, 2022","data vis dispatch, hiring, nothing done"
June 29,"June 29, 2022","hiring, writing a Weekly Chart"
June 30,"June 30, 2022",writing a Weekly Chart
July 4,"July 4, 2022","hiring, nothing done"
July 5,"July 5, 2022","beautiful colors, writing on the book"
July 6,"July 6, 2022","book structure, hiring"
July 7,"July 7, 2022","hiring, nothing done"
July 18,"July 18, 2022","hiring, picking colors"
July 19,"July 19, 2022","hiring, writing a blog post"
July 20,"July 20, 2022","color tools, picking colors"
July 21,"July 21, 2022",writing on the book
July 25,"July 25, 2022","cover design, interpolation, writing a blog post, writing on the book"
July 26,"July 26, 2022","beta reading, hiring"
July 27,"July 27, 2022",book structure
July 28,"July 28, 2022",nothing done
August 01,"August 1, 2022","color space, hiring"
August 02,"August 2, 2022",nothing done
August 03,"August 3, 2022",about these updates
September 09,"September 9, 2024",color tools
,,
September 10,"September 10, 2024",book proposal
September 11,"September 11, 2024",color space
September 12,"September 12, 2024",book proposal
September 16,"September 16, 2024",book proposal
September 17,"September 17, 2024",nothing done
September 18,"September 18, 2024","accessibility, color tools"
September 19,"September 19, 2024",book proposal
September 23,"September 23, 2024","book reading, writing a blog post"
September 24,"September 24, 2024",nothing done
September 25,"September 25, 2024","book proposal, writing a blog post"
September 26,"September 26, 2024",nothing done
September 30,"September 30, 2024",writing a blog post
October 01,"October 1, 2024",writing a blog post
October 02,"October 2, 2024",nothing done
October 07,"October 7, 2024",writing a blog post
October 08,"October 8, 2024",color tools
October 09,"October 9, 2024",writing a blog post
October 10,"October 10, 2024",writing a blog post
October 14,"October 14, 2024",writing a blog post
October 15,"October 15, 2024",writing a blog post
,,
October 16,"October 16, 2024","color tools, writing a blog post"
October 17,"October 17, 2024",color tools
